date_and_time,lat,lon,speed
04-12-14 10:51:08.562,59.344795,18.057412,6
04-12-14 10:51:09.562,59.344778,18.057425,6
04-12-14 10:51:10.562,59.344753,18.05743,6
04-12-14 10:51:11.562,59.344732,18.057438,6
04-12-14 10:51:12.562,59.344715,18.057447,7
04-12-14 10:51:13.562,59.344695,18.057448,6
04-12-14 10:51:14.561,59.344678,18.057457,6
04-12-14 10:51:15.561,59.344663,18.057468,6
04-12-14 10:51:16.561,59.344648,18.05748,6
04-12-14 10:51:17.561,59.344635,18.05749,6
04-12-14 10:51:18.561,59.344618,18.057513,6
04-12-14 10:51:19.561,59.344592,18.05752,6
04-12-14 10:51:20.561,59.344575,18.05754,6
04-12-14 10:51:21.561,59.344548,18.057602,6
04-12-14 10:51:22.561,59.344533,18.057642,6
04-12-14 10:51:23.561,59.34455,18.057677,5
04-12-14 10:51:24.561,59.34454,18.057685,5
04-12-14 10:51:25.561,59.34453,18.05769,6
04-12-14 10:51:26.561,59.34452,18.057675,7
04-12-14 10:51:27.560,59.344512,18.057645,10
04-12-14 10:51:28.560,59.344507,18.057608,10
04-12-14 10:51:29.560,59.344507,18.057573,7
04-12-14 10:51:30.560,59.344513,18.057547,5
04-12-14 10:51:31.560,59.344523,18.057523,5
04-12-14 10:51:32.560,59.344532,18.057498,6
04-12-14 10:51:33.560,59.344538,18.05747,6
04-12-14 10:51:34.560,59.344545,18.057443,5
04-12-14 10:51:35.560,59.344552,18.057417,5
04-12-14 10:51:36.560,59.344555,18.05739,5
04-12-14 10:51:37.560,59.344557,18.057363,5
04-12-14 10:51:38.560,59.344553,18.057343,5
04-12-14 10:51:39.560,59.344553,18.057323,5
04-12-14 10:51:40.560,59.344552,18.057303,5
04-12-14 10:51:41.559,59.344547,18.057282,6
04-12-14 10:51:42.559,59.344542,18.05726,4
04-12-14 10:51:43.559,59.34454,18.057242,3
04-12-14 10:51:44.559,59.344538,18.057222,5
04-12-14 10:51:45.559,59.344533,18.0572,5
04-12-14 10:51:46.559,59.34453,18.057178,5
04-12-14 10:51:47.559,59.344525,18.05715,6
04-12-14 10:51:48.559,59.344522,18.05712,6
04-12-14 10:51:49.559,59.344517,18.057092,5
04-12-14 10:51:50.559,59.34451,18.057067,5
04-12-14 10:51:51.559,59.344502,18.05704,6
04-12-14 10:51:52.559,59.344493,18.057013,5
04-12-14 10:51:53.559,59.344487,18.056987,6
04-12-14 10:51:54.558,59.344483,18.056958,5
04-12-14 10:51:55.558,59.344478,18.056932,6
04-12-14 10:51:56.558,59.344472,18.056907,5
04-12-14 10:51:57.558,59.344467,18.056883,5
04-12-14 10:51:58.558,59.34446,18.05686,5
04-12-14 10:51:59.558,59.344455,18.056837,5
04-12-14 10:52:00.558,59.344447,18.056812,6
04-12-14 10:52:01.558,59.34444,18.056787,5
04-12-14 10:52:02.558,59.34443,18.056765,6
04-12-14 10:52:03.558,59.344425,18.05674,4
04-12-14 10:52:04.558,59.34442,18.056715,5
04-12-14 10:52:05.558,59.344415,18.056687,6
04-12-14 10:52:06.558,59.344408,18.056657,5
04-12-14 10:52:07.558,59.344403,18.056627,6
04-12-14 10:52:08.557,59.344398,18.056597,5
04-12-14 10:52:09.557,59.344395,18.05657,6
04-12-14 10:52:10.557,59.34439,18.056543,5
04-12-14 10:52:11.557,59.344385,18.056518,6
04-12-14 10:52:12.557,59.344383,18.05649,5
04-12-14 10:52:13.557,59.344382,18.056463,5
04-12-14 10:52:14.557,59.344378,18.056433,5
04-12-14 10:52:15.557,59.344378,18.056403,5
04-12-14 10:52:16.557,59.34438,18.05637,5
04-12-14 10:52:17.557,59.34438,18.056337,5
04-12-14 10:52:18.557,59.34438,18.056307,5
04-12-14 10:52:19.557,59.344377,18.056283,4
04-12-14 10:52:20.557,59.344373,18.05626,4
04-12-14 10:52:21.556,59.344368,18.056233,5
04-12-14 10:52:22.556,59.344363,18.056203,5
04-12-14 10:52:23.556,59.344358,18.056177,4
04-12-14 10:52:24.556,59.344355,18.056152,4
04-12-14 10:52:25.556,59.344357,18.056127,3
04-12-14 10:52:26.556,59.344353,18.056105,5
04-12-14 10:52:27.556,59.344347,18.056078,6
04-12-14 10:52:28.556,59.34434,18.056048,5
04-12-14 10:52:29.556,59.344333,18.056018,5
04-12-14 10:52:30.556,59.344328,18.055987,5
04-12-14 10:52:31.556,59.344323,18.05596,4
04-12-14 10:52:32.556,59.344315,18.055937,5
04-12-14 10:52:33.556,59.344303,18.055912,6
04-12-14 10:52:34.555,59.344293,18.05588,6
04-12-14 10:52:35.555,59.344287,18.055848,6
04-12-14 10:52:36.555,59.34428,18.05582,5
04-12-14 10:52:37.555,59.344273,18.055793,6
04-12-14 10:52:38.555,59.344265,18.055767,6
04-12-14 10:52:39.555,59.344257,18.05574,6
04-12-14 10:52:40.555,59.34425,18.05571,6
